epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4953.35,0.56066,0.77712,1.13206,0.8636,0.98911,0.995,0.90798,0.43589,0.45122,0.94451,0.000679062,0.000679062,0.000679062
30,5127.21,0.52939,0.76973,1.12751,0.94172,1,0.995,0.88369,0.553,0.4068,1.04227,0.000673564,0.000673564,0.000673564
31,5297.43,0.49321,0.66692,1.10208,0.90945,1,0.995,0.87441,0.58492,0.43149,1.1015,0.000668066,0.000668066,0.000668066
32,5467.65,0.54296,0.71254,1.10813,0.90965,0.9375,0.96375,0.87992,0.5799,0.62136,1.08335,0.000662568,0.000662568,0.000662568
33,5637.25,0.54698,0.69357,1.12092,0.92699,0.94739,0.995,0.933,0.43691,0.50419,0.95067,0.00065707,0.00065707,0.00065707
34,5808.76,0.51944,0.70309,1.09918,0.96238,1,0.995,0.80863,0.84454,0.50021,1.37533,0.000651573,0.000651573,0.000651573
35,5979.22,0.54149,0.67426,1.11802,0.93075,0.96694,0.995,0.8592,0.55091,0.42424,1.07642,0.000646075,0.000646075,0.000646075
36,6147.53,0.5153,0.71754,1.11257,0.93664,0.91387,0.97417,0.90376,0.39966,0.7959,0.91184,0.000640577,0.000640577,0.000640577
37,6317.53,0.48083,0.66353,1.08406,0.96632,1,0.995,0.90488,0.49498,0.45805,1.02279,0.000635079,0.000635079,0.000635079
38,6485.57,0.49597,0.61691,1.0772,0.89945,0.95603,0.995,0.90522,0.41436,0.4433,0.92011,0.000629581,0.000629581,0.000629581
39,6654.95,0.46445,0.67667,1.07596,0.9496,0.95188,0.995,0.89285,0.55819,0.38956,1.02016,0.000624084,0.000624084,0.000624084
40,6824.12,0.44631,0.61573,1.05098,0.97579,1,0.995,0.91238,0.49102,0.32154,0.99584,0.000618586,0.000618586,0.000618586
41,6993.8,0.48551,0.65777,1.09077,0.89222,1,0.995,0.91879,0.42102,0.37832,0.93102,0.000613088,0.000613088,0.000613088
42,7163.31,0.44228,0.61816,1.03843,0.92402,1,0.995,0.93074,0.39977,0.33734,0.90144,0.00060759,0.00060759,0.00060759
43,7332.71,0.47723,0.64462,1.07176,0.94028,0.99938,0.995,0.93626,0.39096,0.31886,0.8995,0.000602092,0.000602092,0.000602092
44,7503.91,0.45892,0.63998,1.05574,0.92089,0.97094,0.995,0.92969,0.42561,0.5467,0.92525,0.000596595,0.000596595,0.000596595
45,7673.82,0.46976,0.5985,1.05638,0.954,0.99877,0.995,0.91273,0.44957,0.32022,0.9257,0.000591097,0.000591097,0.000591097
46,7843.24,0.46954,0.56605,1.06174,0.95915,1,0.995,0.94879,0.37415,0.31556,0.87847,0.000585599,0.000585599,0.000585599
47,8013.59,0.48002,0.62271,1.08729,0.96541,1,0.995,0.9703,0.29432,0.29932,0.83264,0.000580101,0.000580101,0.000580101
48,8185.31,0.45121,0.57613,1.06556,0.97294,1,0.995,0.94873,0.3255,0.25261,0.86892,0.000574603,0.000574603,0.000574603
49,8355.01,0.43591,0.54099,1.05237,0.92808,0.94351,0.995,0.94852,0.35709,0.47063,0.91698,0.000569106,0.000569106,0.000569106
50,8525.09,0.42868,0.55908,1.04568,0.96661,1,0.995,0.95271,0.37241,0.50723,0.9062,0.000563608,0.000563608,0.000563608
51,8695.46,0.42076,0.55192,1.04029,0.95383,1,0.995,0.95648,0.34301,0.25549,0.88996,0.00055811,0.00055811,0.00055811
52,8865.18,0.4464,0.51661,1.04373,0.97058,0.95859,0.995,0.91613,0.4108,0.3351,0.92078,0.000552612,0.000552612,0.000552612
53,9034.06,0.41154,0.5307,1.03625,0.94511,0.99603,0.995,0.91274,0.43839,0.34128,0.94414,0.000547114,0.000547114,0.000547114
54,9204.15,0.45165,0.56867,1.04569,0.97311,1,0.995,0.94285,0.37094,0.25621,0.88308,0.000541617,0.000541617,0.000541617
55,9373.84,0.44784,0.54448,1.07328,0.95282,0.99121,0.995,0.93311,0.40133,0.37499,0.89742,0.000536119,0.000536119,0.000536119
56,9543.12,0.43398,0.55152,1.05226,0.96812,1,0.995,0.9302,0.4318,0.45361,0.92858,0.000530621,0.000530621,0.000530621
57,9712.9,0.4705,0.53351,1.06966,0.94854,0.94572,0.995,0.95771,0.32313,0.33557,0.87065,0.000525123,0.000525123,0.000525123
58,9882.95,0.40777,0.51171,1.01485,0.94161,0.98612,0.995,0.92938,0.41351,0.29328,0.94713,0.000519625,0.000519625,0.000519625
59,10064.1,0.39612,0.50694,1.01924,0.96652,1,0.995,0.92174,0.39108,0.3055,0.94304,0.000514128,0.000514128,0.000514128
60,10242.1,0.39354,0.53364,1.02296,0.97566,1,0.995,0.92038,0.47685,0.30387,1.01584,0.00050863,0.00050863,0.00050863
61,10412.3,0.42377,0.53536,1.03698,0.94515,1,0.995,0.8988,0.50233,0.31859,0.98636,0.000503132,0.000503132,0.000503132
62,10579.4,0.39137,0.48487,1.01549,0.9693,1,0.995,0.96458,0.3231,0.24391,0.87415,0.000497634,0.000497634,0.000497634
63,10748.6,0.39021,0.48278,1.00948,0.96831,1,0.995,0.93694,0.41015,0.22411,0.90842,0.000492136,0.000492136,0.000492136
64,10917.5,0.38614,0.49902,1.01052,0.96196,0.98812,0.995,0.96034,0.32209,0.23775,0.85559,0.000486639,0.000486639,0.000486639
65,11087.2,0.38276,0.47,1.01501,0.96545,1,0.995,0.9267,0.43384,0.25672,0.9573,0.000481141,0.000481141,0.000481141
66,11256.1,0.39574,0.4793,1.01957,0.96357,1,0.995,0.97792,0.30276,0.23658,0.84271,0.000475643,0.000475643,0.000475643
67,11430.2,0.39717,0.48128,1.01511,0.97614,1,0.995,0.96927,0.33774,0.23946,0.87727,0.000470145,0.000470145,0.000470145
68,11630.5,0.37063,0.42359,1.00126,0.96662,1,0.995,0.96261,0.35382,0.25351,0.87084,0.000464647,0.000464647,0.000464647
69,11806.4,0.40741,0.50589,1.05131,0.97376,0.94781,0.995,0.9387,0.38705,0.27024,0.91149,0.00045915,0.00045915,0.00045915
70,11983.1,0.38126,0.43085,1.02355,0.96908,1,0.995,0.94651,0.35774,0.25565,0.88996,0.000453652,0.000453652,0.000453652
71,12160,0.38508,0.41853,1.02835,0.94908,0.99059,0.995,0.94941,0.37086,0.28416,0.90158,0.000448154,0.000448154,0.000448154
72,12341.9,0.37802,0.49222,0.99673,0.95905,0.95756,0.995,0.97184,0.33343,0.2623,0.90108,0.000442656,0.000442656,0.000442656
73,12519.6,0.38281,0.50362,1.03006,0.96929,1,0.995,0.93365,0.43013,0.27188,0.9489,0.000437158,0.000437158,0.000437158
74,12691.3,0.36973,0.46056,1.00773,0.97573,1,0.995,0.9615,0.31012,0.23395,0.84822,0.000431661,0.000431661,0.000431661
75,12864.2,0.36687,0.48487,0.99683,0.96382,1,0.995,0.96758,0.28212,0.2308,0.83938,0.000426163,0.000426163,0.000426163
76,13036.4,0.38922,0.47135,1.01642,0.96222,1,0.995,0.9408,0.37108,0.23771,0.89986,0.000420665,0.000420665,0.000420665
77,13208.2,0.34364,0.41225,0.97805,0.94847,1,0.995,0.97456,0.31725,0.22107,0.85201,0.000415167,0.000415167,0.000415167
78,13384.3,0.37844,0.44841,1.00808,0.96988,1,0.995,0.96434,0.3589,0.30949,0.87921,0.000409669,0.000409669,0.000409669
79,13557.8,0.38235,0.45622,1.01301,0.96793,1,0.995,0.95785,0.33839,0.36711,0.84803,0.000404172,0.000404172,0.000404172
80,13732.6,0.36334,0.41262,1.00113,0.96595,1,0.995,0.96158,0.32865,0.2144,0.85128,0.000398674,0.000398674,0.000398674
81,13903.3,0.36556,0.40499,0.98627,0.9696,1,0.995,0.94585,0.38209,0.22006,0.86345,0.000393176,0.000393176,0.000393176
82,14074.6,0.3448,0.37672,0.99904,0.95828,1,0.995,0.96128,0.33224,0.2682,0.84744,0.000387678,0.000387678,0.000387678
83,14244.8,0.34214,0.39529,1.0036,0.92444,1,0.995,0.94659,0.39325,0.28883,0.89149,0.00038218,0.00038218,0.00038218
84,14417,0.35983,0.4474,0.99668,0.97228,0.99841,0.995,0.93475,0.38924,0.26069,0.90451,0.000376683,0.000376683,0.000376683
85,14587.6,0.36326,0.40005,0.99831,0.95731,0.98962,0.995,0.91297,0.41227,0.28126,0.94013,0.000371185,0.000371185,0.000371185
86,14756.8,0.35109,0.39819,0.98619,0.96914,1,0.995,0.93031,0.46936,0.30429,0.99083,0.000365687,0.000365687,0.000365687
87,14929.2,0.33769,0.4001,0.99199,0.94212,1,0.995,0.9518,0.37849,0.25813,0.89043,0.000360189,0.000360189,0.000360189
88,15102.4,0.3387,0.41236,0.98977,0.97058,1,0.995,0.96437,0.2877,0.19286,0.82493,0.000354691,0.000354691,0.000354691
89,15274.3,0.34685,0.38855,0.99664,0.97558,1,0.995,0.97313,0.27539,0.21617,0.81631,0.000349194,0.000349194,0.000349194
90,15445.4,0.32393,0.39416,0.98103,0.97241,1,0.995,0.96459,0.30274,0.20931,0.83859,0.000343696,0.000343696,0.000343696
91,15618.7,0.3397,0.402,0.98366,0.97843,1,0.995,0.96557,0.29281,0.19792,0.83014,0.000338198,0.000338198,0.000338198
92,15787.3,0.31934,0.37685,0.99114,0.97475,1,0.995,0.98329,0.30545,0.23336,0.84769,0.0003327,0.0003327,0.0003327
93,15959.1,0.35082,0.40423,0.98609,0.97605,1,0.995,0.94988,0.32871,0.20109,0.85757,0.000327202,0.000327202,0.000327202
94,16127.9,0.30697,0.36329,0.97514,0.96516,1,0.995,0.96126,0.2904,0.20211,0.83542,0.000321705,0.000321705,0.000321705
95,16295.7,0.32906,0.36037,0.97478,0.97058,1,0.995,0.96277,0.31282,0.19963,0.85098,0.000316207,0.000316207,0.000316207
96,16463.8,0.32267,0.39993,0.98941,0.98161,1,0.995,0.95303,0.35947,0.21862,0.89417,0.000310709,0.000310709,0.000310709
97,16632.9,0.32439,0.37952,0.98192,0.97837,1,0.995,0.951,0.32412,0.21939,0.87408,0.000305211,0.000305211,0.000305211
98,16803.7,0.31014,0.35962,0.96427,0.97927,1,0.995,0.95305,0.3014,0.19273,0.85418,0.000299713,0.000299713,0.000299713
99,16974.4,0.33141,0.35757,0.99601,0.97783,1,0.995,0.96234,0.29338,0.17825,0.84753,0.000294216,0.000294216,0.000294216
100,17143,0.31681,0.33005,0.96455,0.96277,0.99967,0.995,0.96337,0.30803,0.19513,0.8578,0.000288718,0.000288718,0.000288718
101,17311.6,0.30603,0.37379,0.97857,0.96341,0.99844,0.995,0.97004,0.31898,0.18973,0.84415,0.00028322,0.00028322,0.00028322
102,17480.8,0.31283,0.38795,0.9768,0.96613,0.96748,0.995,0.94649,0.32138,0.22413,0.85484,0.000277722,0.000277722,0.000277722
103,17649.3,0.29936,0.33627,0.96589,0.98493,1,0.995,0.94703,0.31614,0.20749,0.86751,0.000272224,0.000272224,0.000272224
104,17819,0.30564,0.34833,0.96008,0.976,1,0.995,0.96737,0.30258,0.19272,0.84794,0.000266727,0.000266727,0.000266727
105,17988.7,0.3166,0.36298,0.97158,0.97617,1,0.995,0.96976,0.30242,0.19114,0.85494,0.000261229,0.000261229,0.000261229
106,18159.3,0.29766,0.37965,0.9734,0.97702,1,0.995,0.971,0.27076,0.18916,0.83621,0.000255731,0.000255731,0.000255731
107,18327.8,0.29157,0.33259,0.95123,0.97608,1,0.995,0.95222,0.29146,0.17338,0.84647,0.000250233,0.000250233,0.000250233
108,18495.9,0.30511,0.33874,0.97109,0.97398,1,0.995,0.95311,0.30559,0.18236,0.84692,0.000244735,0.000244735,0.000244735
109,18665.2,0.29223,0.34226,0.95261,0.97192,1,0.995,0.96996,0.28953,0.18756,0.83761,0.000239238,0.000239238,0.000239238
110,18833.6,0.26981,0.30223,0.95431,0.97563,1,0.995,0.96314,0.31707,0.19875,0.84841,0.00023374,0.00023374,0.00023374
111,19001.8,0.28584,0.29942,0.9559,0.98413,1,0.995,0.98569,0.2649,0.19952,0.80945,0.000228242,0.000228242,0.000228242
112,19173.8,0.30242,0.34899,0.96936,0.98533,1,0.995,0.99034,0.25837,0.18468,0.81634,0.000222744,0.000222744,0.000222744
113,19345.1,0.2853,0.29339,0.95103,0.9765,1,0.995,0.98092,0.26702,0.19032,0.82986,0.000217246,0.000217246,0.000217246
114,19513.8,0.27586,0.31974,0.94331,0.97717,1,0.995,0.97041,0.30678,0.16486,0.86136,0.000211749,0.000211749,0.000211749
115,19685.1,0.27425,0.35963,0.96343,0.97466,1,0.995,0.95707,0.32392,0.16803,0.87499,0.000206251,0.000206251,0.000206251
116,19854.7,0.30134,0.3308,0.96266,0.97471,1,0.995,0.96475,0.27914,0.16179,0.83636,0.000200753,0.000200753,0.000200753
117,20024.4,0.27787,0.31926,0.9565,0.97184,1,0.995,0.96291,0.25797,0.16315,0.82898,0.000195255,0.000195255,0.000195255
118,20192.7,0.27577,0.32623,0.94934,0.98371,1,0.995,0.96576,0.30711,0.20978,0.85248,0.000189757,0.000189757,0.000189757
119,20363.1,0.27898,0.30754,0.95752,0.986,1,0.995,0.97478,0.29789,0.19833,0.8319,0.00018426,0.00018426,0.00018426
120,20531,0.27979,0.30683,0.95696,0.98521,1,0.995,0.96703,0.26772,0.18354,0.82198,0.000178762,0.000178762,0.000178762
121,20701.7,0.28408,0.30714,0.95011,0.99065,1,0.995,0.96703,0.27859,0.17853,0.83658,0.000173264,0.000173264,0.000173264
122,20870,0.25716,0.31033,0.95562,0.98688,1,0.995,0.97698,0.26567,0.17661,0.82241,0.000167766,0.000167766,0.000167766
123,21037.8,0.26284,0.3023,0.93503,0.98166,1,0.995,0.96592,0.27784,0.16668,0.82763,0.000162268,0.000162268,0.000162268
124,21206.8,0.2506,0.28481,0.93508,0.97811,1,0.995,0.97661,0.28004,0.16982,0.83294,0.000156771,0.000156771,0.000156771
125,21375.3,0.24972,0.27951,0.94203,0.97674,1,0.995,0.97073,0.29269,0.17465,0.83942,0.000151273,0.000151273,0.000151273
126,21544,0.26015,0.30299,0.94375,0.98007,1,0.995,0.97009,0.3166,0.18198,0.9028,0.000145775,0.000145775,0.000145775
127,21713,0.24496,0.27967,0.93264,0.98427,1,0.995,0.96384,0.33413,0.17648,0.92641,0.000140277,0.000140277,0.000140277
128,21882.3,0.25489,0.26694,0.9448,0.97623,1,0.995,0.96475,0.28331,0.18243,0.84442,0.000134779,0.000134779,0.000134779
129,22051.6,0.24923,0.27026,0.93739,0.97804,1,0.995,0.97661,0.27934,0.18508,0.8371,0.000129282,0.000129282,0.000129282
130,22221.9,0.25458,0.27071,0.94193,0.97622,1,0.995,0.971,0.29091,0.16645,0.84307,0.000123784,0.000123784,0.000123784
131,22390.9,0.25366,0.27823,0.94037,0.97806,1,0.995,0.97325,0.27698,0.16879,0.83161,0.000118286,0.000118286,0.000118286
132,22559.8,0.23991,0.26151,0.93068,0.97649,1,0.995,0.97256,0.26943,0.16035,0.82118,0.000112788,0.000112788,0.000112788
133,22729,0.24818,0.29487,0.93811,0.98179,1,0.995,0.97116,0.27531,0.17387,0.82569,0.00010729,0.00010729,0.00010729
134,22897.8,0.22794,0.2569,0.92583,0.98093,1,0.995,0.96245,0.28119,0.17009,0.82166,0.000101793,0.000101793,0.000101793
135,23067.1,0.22787,0.25759,0.91677,0.97837,1,0.995,0.95936,0.27453,0.16842,0.81932,9.62948e-05,9.62948e-05,9.62948e-05
136,23235.4,0.23746,0.25346,0.94167,0.97741,1,0.995,0.96497,0.28563,0.1758,0.82957,9.0797e-05,9.0797e-05,9.0797e-05
137,23404.1,0.2465,0.26328,0.94267,0.97825,1,0.995,0.96497,0.2879,0.17374,0.83546,8.52992e-05,8.52992e-05,8.52992e-05
138,23573.2,0.23793,0.25528,0.94606,0.97817,1,0.995,0.97645,0.27888,0.17171,0.8354,7.98014e-05,7.98014e-05,7.98014e-05
139,23743.5,0.22365,0.26004,0.9262,0.97893,1,0.995,0.97634,0.27904,0.16645,0.83227,7.43036e-05,7.43036e-05,7.43036e-05
140,23913.8,0.22504,0.23882,0.92697,0.9798,1,0.995,0.97645,0.27816,0.16321,0.82918,6.88058e-05,6.88058e-05,6.88058e-05
141,24085.9,0.24022,0.25219,0.93414,0.98838,1,0.995,0.97179,0.28506,0.16432,0.83333,6.3308e-05,6.3308e-05,6.3308e-05
142,24253.5,0.21764,0.21983,0.93001,0.98194,1,0.995,0.95811,0.32299,0.17249,0.86382,5.78102e-05,5.78102e-05,5.78102e-05
143,24421.9,0.21797,0.20046,0.91507,0.9822,1,0.995,0.96298,0.3221,0.1773,0.86465,5.23124e-05,5.23124e-05,5.23124e-05
144,24591.8,0.20532,0.19306,0.92128,0.98245,1,0.995,0.96288,0.29509,0.18225,0.8367,4.68146e-05,4.68146e-05,4.68146e-05
145,24760.4,0.19967,0.18075,0.91507,0.98293,1,0.995,0.97126,0.2755,0.16308,0.82268,4.13168e-05,4.13168e-05,4.13168e-05
146,24927.8,0.20241,0.1921,0.89899,0.98838,1,0.995,0.97645,0.26173,0.16825,0.81713,3.5819e-05,3.5819e-05,3.5819e-05
147,25095.9,0.18958,0.17085,0.90067,0.98586,1,0.995,0.9818,0.25669,0.1663,0.81332,3.03212e-05,3.03212e-05,3.03212e-05
148,25264.2,0.19134,0.17277,0.90154,0.98656,1,0.995,0.97195,0.25389,0.16188,0.81293,2.48234e-05,2.48234e-05,2.48234e-05
149,25432.7,0.20044,0.16859,0.91316,0.98674,1,0.995,0.97714,0.25646,0.15592,0.81477,1.93256e-05,1.93256e-05,1.93256e-05
150,25600.8,0.18885,0.16904,0.90323,0.98659,1,0.995,0.98206,0.25393,0.15375,0.81313,1.38278e-05,1.38278e-05,1.38278e-05
